Transaction Date,Post Date,Description,Category,Type,Amount,Memo
05/31/2024,06/02/2024,UNITED AIRLINES,Travel,Sale,-356.38,
06/04/2024,06/07/2024,MUSEUM,Entertainment,Sale,-34.25,
06/05/2024,06/05/2024,GOOGLE *YOUTUBE,Subscriptions,Sale,-19.27,
06/05/2024,06/05/2024,REI,Shopping,Sale,-149.67,
06/05/2024,06/06/2024,BALSMIQ,Shopping,Sale,-19.13,
06/06/2024,06/09/2024,TICKETMASTER,Entertainment,Sale,-126.45,
06/06/2024,06/09/2024,NIKE.COM,Shopping,Sale,-58.00,
06/10/2024,06/13/2024,GOOGLE *YOUTUBE,Subscriptions,Sale,-14.59,
06/18/2024,06/21/2024,TICKETMASTER RETURN,Entertainment,Refund,128.18,Refund/return
06/18/2024,06/20/2024,SWEETGREEN,Food & Drink,Sale,-20.63,
06/23/2024,06/27/2024,APPLE.COM/BILL,Subscriptions,Sale,-7.42,
07/02/2024,07/05/2024,WHOLE FOODS MARKET #542,Groceries,Sale,-94.55,
07/05/2024,07/07/2024,SWEETGREEN,Food & Drink,Sale,-13.27,
07/11/2024,07/13/2024,APPLE.COM/BILL,Subscriptions,Sale,-10.92,
07/14/2024,07/16/2024,GIFTS & DONATIONS,Gifts & Donations,Sale,-65.72,
07/15/2024,07/17/2024,MUSEUM,Entertainment,Sale,-39.33,
07/17/2024,07/19/2024,STARBUCKS,Food & Drink,Sale,-9.28,
07/19/2024,07/21/2024,SPOTIFY,Subscriptions,Sale,-10.99,
07/19/2024,07/19/2024,CVS/PHARMACY,Health,Sale,-32.33,
07/21/2024,07/23/2024,INSTACART,Groceries,Sale,-122.42,
07/21/2024,07/23/2024,WALGREENS,Health,Sale,-30.79,
08/01/2024,08/03/2024,CVS/PHARMACY,Health,Sale,-19.36,
08/04/2024,08/07/2024,LULULEMON,Shopping,Sale,-50.35,
08/04/2024,08/08/2024,LULULEMON,Shopping,Sale,-111.91,
08/05/2024,08/08/2024,SPOTIFY,Subscriptions,Sale,-10.99,
08/06/2024,08/09/2024,LULULEMON RETURN,Shopping,Refund,107.35,Refund/return
08/10/2024,08/10/2024,TRADER JOE'S #218,Groceries,Sale,-56.50,
08/14/2024,08/16/2024,AMC THEATRES,Entertainment,Sale,-34.16,
08/15/2024,08/19/2024,MUSEUM,Entertainment,Sale,-22.79,
08/19/2024,08/20/2024,CVS/PHARMACY,Health,Sale,-23.82,
08/21/2024,08/25/2024,TRADER JOE'S #858,Groceries,Sale,-52.25,
08/22/2024,08/25/2024,BALSMIQ,Shopping,Sale,-19.78,
08/25/2024,08/25/2024,BARNES & NOBLE,Shopping,Sale,-37.19,
08/27/2024,08/29/2024,CONCERT VENUE,Entertainment,Sale,-152.70,
08/28/2024,08/30/2024,CHIPOTLE,Food & Drink,Sale,-13.38,
08/30/2024,09/02/2024,CARD SERVICE FEE,Fees,Fee,-13.76,
09/03/2024,09/04/2024,NETFLIX.COM,Subscriptions,Sale,-15.99,
09/04/2024,09/06/2024,AIRBNB,Travel,Sale,-269.82,
09/04/2024,09/07/2024,APPLE.COM/BILL,Subscriptions,Sale,-14.74,
09/06/2024,09/10/2024,CHIPOTLE,Food & Drink,Sale,-15.51,
09/06/2024,09/06/2024,AMC THEATRES,Entertainment,Sale,-32.38,
09/10/2024,09/12/2024,CHIPOTLE,Food & Drink,Sale,-24.13,
09/11/2024,09/13/2024,CONCERT VENUE,Entertainment,Sale,-128.03,
09/13/2024,09/15/2024,MUSEUM,Entertainment,Sale,-38.71,
09/14/2024,09/16/2024,MUSEUM,Entertainment,Sale,-33.19,
09/15/2024,09/17/2024,HOTEL,Travel,Sale,-250.64,
09/16/2024,09/17/2024,WHOLE FOODS MARKET #487,Groceries,Sale,-79.29,
09/18/2024,09/20/2024,BARNES & NOBLE,Shopping,Sale,-56.42,
09/19/2024,09/19/2024,DOORDASH RETURN,Food & Drink,Refund,50.93,Refund/return
09/21/2024,09/24/2024,CVS/PHARMACY,Health,Sale,-18.41,
09/25/2024,09/29/2024,BARNES & NOBLE,Shopping,Sale,-37.53,
09/26/2024,09/28/2024,SPOTIFY,Subscriptions,Sale,-10.99,
09/27/2024,09/28/2024,UNITED AIRLINES,Travel,Sale,-368.39,
09/27/2024,10/01/2024,REI,Shopping,Sale,-68.75,
10/01/2024,10/04/2024,CHIPOTLE,Food & Drink,Sale,-16.84,
10/02/2024,10/03/2024,CONCERT VENUE,Entertainment,Sale,-91.53,
10/03/2024,10/03/2024,CHIPOTLE,Food & Drink,Sale,-8.00,
10/03/2024,10/04/2024,CHIPOTLE,Food & Drink,Sale,-20.68,
10/15/2024,10/19/2024,BALSMIQ,Shopping,Sale,-16.16,
10/20/2024,10/24/2024,AMC THEATRES RETURN,Entertainment,Refund,29.32,Refund/return
10/22/2024,10/22/2024,NETFLIX.COM,Subscriptions,Sale,-15.99,
10/26/2024,10/30/2024,STARBUCKS,Food & Drink,Sale,-8.47,
10/27/2024,10/29/2024,BALSMIQ,Shopping,Sale,-18.38,
10/28/2024,11/01/2024,NIKE.COM,Shopping,Sale,-85.53,
10/29/2024,10/31/2024,APPLE.COM/BILL,Subscriptions,Sale,-3.76,
11/03/2024,11/04/2024,BARNES & NOBLE,Shopping,Sale,-48.86,
11/05/2024,11/07/2024,SWEETGREEN,Food & Drink,Sale,-18.92,
11/12/2024,11/15/2024,GIFTS & DONATIONS,Gifts & Donations,Sale,-57.42,
11/25/2024,11/28/2024,BARNES & NOBLE,Shopping,Sale,-31.41,
11/29/2024,12/01/2024,STARBUCKS,Food & Drink,Sale,-9.67,
12/02/2024,12/05/2024,LYFT 1 RIDE 12-02,Travel,Sale,-14.06,
12/04/2024,12/08/2024,SP ALLBIRDS,Shopping,Sale,-90.63,
12/06/2024,12/08/2024,AMC THEATRES,Entertainment,Sale,-40.96,
12/06/2024,12/09/2024,WHOLE FOODS MARKET #909,Groceries,Sale,-61.60,
12/10/2024,12/10/2024,REI,Shopping,Sale,-62.73,
12/11/2024,12/12/2024,SQ *THE BOUNCE PLACE,Entertainment,Sale,-25.41,
12/12/2024,12/15/2024,UNITED AIRLINES,Travel,Sale,-360.53,
12/14/2024,12/16/2024,CHIPOTLE,Food & Drink,Sale,-17.97,
12/14/2024,12/16/2024,SQ *LA TAQUERIA,Food & Drink,Sale,-13.25,
12/14/2024,12/17/2024,GIFTS & DONATIONS,Gifts & Donations,Sale,-41.72,
12/15/2024,12/15/2024,GOOGLE *YOUTUBE,Subscriptions,Sale,-10.76,
12/15/2024,12/18/2024,SQ *THE BOUNCE PLACE,Entertainment,Sale,-23.79,
12/16/2024,12/18/2024,LYFT 1 RIDE 12-16,Travel,Sale,-12.72,
12/18/2024,12/19/2024,UNITED AIRLINES,Travel,Sale,-396.57,
12/20/2024,12/23/2024,AIRBNB,Travel,Sale,-207.98,
12/20/2024,12/23/2024,REI,Shopping,Sale,-69.17,
12/21/2024,12/23/2024,APPLE.COM/BILL,Subscriptions,Sale,-12.74,
12/22/2024,12/25/2024,AMC THEATRES,Entertainment,Sale,-32.02,
12/29/2024,01/02/2025,SEPHORA,Shopping,Sale,-66.28,
12/30/2024,12/31/2024,SPOTIFY,Subscriptions,Sale,-10.99,
01/03/2025,01/07/2025,CHIPOTLE,Food & Drink,Sale,-19.57,
01/09/2025,01/10/2025,GOOGLE *YOUTUBE,Subscriptions,Sale,-17.24,
01/14/2025,01/16/2025,AIRBNB,Travel,Sale,-287.71,
01/18/2025,01/20/2025,SPOTIFY RETURN,Subscriptions,Refund,26.90,Refund/return
01/18/2025,01/21/2025,NIKE.COM,Shopping,Sale,-64.75,
01/19/2025,01/20/2025,APPLE.COM/BILL,Subscriptions,Sale,-8.20,
01/21/2025,01/25/2025,MUSEUM,Entertainment,Sale,-47.07,
01/22/2025,01/26/2025,DOORDASH,Food & Drink,Sale,-30.85,
01/25/2025,01/28/2025,REI,Shopping,Sale,-165.02,
01/27/2025,01/28/2025,INSTACART,Groceries,Sale,-95.20,
02/04/2025,02/08/2025,CHIPOTLE,Food & Drink,Sale,-19.12,
02/17/2025,02/20/2025,AMC THEATRES,Entertainment,Sale,-17.78,
02/17/2025,02/19/2025,GOOGLE *YOUTUBE,Subscriptions,Sale,-19.33,
02/18/2025,02/21/2025,NIKE.COM,Shopping,Sale,-132.30,
02/19/2025,02/20/2025,SPOTIFY,Subscriptions,Sale,-10.99,
02/21/2025,02/23/2025,AIRBNB,Travel,Sale,-328.50,
02/25/2025,02/25/2025,GOOGLE *YOUTUBE,Subscriptions,Sale,-21.76,
02/25/2025,03/01/2025,DOORDASH,Food & Drink,Sale,-40.02,
02/27/2025,02/28/2025,HOTEL,Travel,Sale,-165.61,
02/27/2025,02/27/2025,DOORDASH,Food & Drink,Sale,-44.67,
03/04/2025,03/07/2025,GOOGLE *YOUTUBE,Subscriptions,Sale,-14.59,
03/10/2025,03/13/2025,CVS/PHARMACY,Health,Sale,-25.09,
03/11/2025,03/11/2025,MUSEUM,Entertainment,Sale,-30.20,
03/16/2025,03/16/2025,GIFTS & DONATIONS,Gifts & Donations,Sale,-81.85,
03/17/2025,03/21/2025,CHIPOTLE,Food & Drink,Sale,-14.17,
03/18/2025,03/21/2025,AMC THEATRES,Entertainment,Sale,-42.30,
03/19/2025,03/22/2025,DOORDASH,Food & Drink,Sale,-49.04,
03/19/2025,03/21/2025,WHOLE FOODS MARKET #567,Groceries,Sale,-60.51,
03/19/2025,03/22/2025,CVS/PHARMACY,Health,Sale,-9.76,
03/22/2025,03/25/2025,NIKE.COM,Shopping,Sale,-107.81,
03/24/2025,03/25/2025,UBER TRIP,Travel,Sale,-14.79,
03/28/2025,03/28/2025,CHIPOTLE,Food & Drink,Sale,-17.98,
04/05/2025,04/06/2025,UBER TRIP,Travel,Sale,-20.05,
04/07/2025,04/09/2025,GIFTS & DONATIONS RETURN,Gifts & Donations,Refund,56.02,Refund/return
04/17/2025,04/21/2025,TARGET #636,Shopping,Sale,-111.29,
04/21/2025,04/22/2025,MUSEUM,Entertainment,Sale,-34.46,
04/26/2025,04/27/2025,TARGET #209,Shopping,Sale,-52.27,
04/27/2025,04/28/2025,AMC THEATRES,Entertainment,Sale,-42.40,
04/28/2025,05/01/2025,CONCERT VENUE,Entertainment,Sale,-93.93,
04/28/2025,04/30/2025,DOORDASH,Food & Drink,Sale,-52.62,
04/30/2025,05/02/2025,REI,Shopping,Sale,-117.69,
05/07/2025,05/08/2025,HOTEL,Travel,Sale,-175.39,
05/09/2025,05/12/2025,SEPHORA,Shopping,Sale,-37.31,
05/09/2025,05/11/2025,CVS/PHARMACY,Health,Sale,-24.37,
05/10/2025,05/13/2025,TICKETMASTER,Entertainment,Sale,-116.28,
05/11/2025,05/15/2025,SQ *THE BOUNCE PLACE,Entertainment,Sale,-29.52,
05/14/2025,05/16/2025,CARD SERVICE FEE,Fees,Fee,-4.79,
05/17/2025,05/17/2025,GOOGLE *YOUTUBE RETURN,Subscriptions,Refund,15.77,Refund/return
05/17/2025,05/17/2025,CARD SERVICE FEE,Fees,Fee,-9.41,
05/18/2025,05/22/2025,CONCERT VENUE,Entertainment,Sale,-121.54,
05/18/2025,05/20/2025,REI,Shopping,Sale,-147.81,
05/18/2025,05/21/2025,BALSMIQ,Shopping,Sale,-13.97,
05/20/2025,05/24/2025,SP ALLBIRDS,Shopping,Sale,-93.82,
05/21/2025,05/22/2025,STARBUCKS,Food & Drink,Sale,-9.87,
05/27/2025,05/28/2025,CHIPOTLE,Food & Drink,Sale,-18.06,
05/30/2025,05/31/2025,WALGREENS,Health,Sale,-40.38,
05/30/2025,06/01/2025,UNITED AIRLINES,Travel,Sale,-421.81,
06/01/2025,06/04/2025,GOOGLE *YOUTUBE,Subscriptions,Sale,-13.86,
06/01/2025,06/04/2025,SQ *THE BOUNCE PLACE,Entertainment,Sale,-19.57,
06/06/2025,06/09/2025,AMAZON.COM ORDER 826307,Shopping,Sale,-67.93,
06/07/2025,06/09/2025,WHOLE FOODS MARKET #30,Groceries,Sale,-62.34,
06/12/2025,06/14/2025,TICKETMASTER,Entertainment,Sale,-117.85,
06/12/2025,06/15/2025,WHOLE FOODS MARKET #511,Groceries,Sale,-72.98,
06/13/2025,06/16/2025,REI,Shopping,Sale,-127.31,
06/14/2025,06/17/2025,INSTACART,Groceries,Sale,-61.37,
06/17/2025,06/18/2025,MUSEUM,Entertainment,Sale,-34.07,
06/21/2025,06/24/2025,STARBUCKS,Food & Drink,Sale,-8.43,
06/21/2025,06/22/2025,NIKE.COM,Shopping,Sale,-118.71,
07/04/2025,07/07/2025,SQ *THE BOUNCE PLACE,Entertainment,Sale,-30.47,
07/06/2025,07/08/2025,UNITED AIRLINES,Travel,Sale,-429.14,
07/07/2025,07/09/2025,LYFT 1 RIDE 07-07,Travel,Sale,-15.44,
07/11/2025,07/12/2025,TARGET #575,Shopping,Sale,-76.83,
07/12/2025,07/14/2025,DOORDASH,Food & Drink,Sale,-38.39,
07/18/2025,07/20/2025,AIRBNB,Travel,Sale,-270.31,
07/18/2025,07/18/2025,APPLE.COM/BILL,Subscriptions,Sale,-6.48,
07/19/2025,07/22/2025,NETFLIX.COM,Subscriptions,Sale,-15.99,
07/21/2025,07/25/2025,CVS/PHARMACY,Health,Sale,-18.29,
07/23/2025,07/23/2025,NIKE.COM,Shopping,Sale,-96.87,
07/26/2025,07/29/2025,TARGET #218,Shopping,Sale,-72.97,
07/26/2025,07/26/2025,CVS/PHARMACY,Health,Sale,-21.34,
07/27/2025,07/28/2025,MUSEUM,Entertainment,Sale,-41.10,
07/28/2025,07/30/2025,LULULEMON,Shopping,Sale,-97.42,
07/29/2025,08/01/2025,SWEETGREEN,Food & Drink,Sale,-24.27,
07/29/2025,08/02/2025,LULULEMON,Shopping,Sale,-147.39,
08/01/2025,08/03/2025,AIRBNB,Travel,Sale,-282.38,
08/02/2025,08/03/2025,LYFT 1 RIDE 08-02,Travel,Sale,-13.79,
08/02/2025,08/04/2025,BALSMIQ,Shopping,Sale,-9.63,
08/06/2025,08/08/2025,SP ALLBIRDS,Shopping,Sale,-85.96,
08/08/2025,08/11/2025,SQ *LA TAQUERIA,Food & Drink,Sale,-16.81,
08/09/2025,08/09/2025,AIRBNB,Travel,Sale,-302.53,
08/11/2025,08/13/2025,SQ *LA TAQUERIA,Food & Drink,Sale,-11.58,
08/12/2025,08/12/2025,DOORDASH,Food & Drink,Sale,-52.53,
08/17/2025,08/18/2025,NETFLIX.COM,Subscriptions,Sale,-15.99,
08/21/2025,08/22/2025,UBER TRIP,Travel,Sale,-20.43,
08/21/2025,08/24/2025,BARNES & NOBLE,Shopping,Sale,-53.83,
08/24/2025,08/27/2025,AIRBNB,Travel,Sale,-279.09,
08/26/2025,08/27/2025,GOOGLE *YOUTUBE,Subscriptions,Sale,-18.31,
08/27/2025,08/28/2025,SQ *THE BOUNCE PLACE,Entertainment,Sale,-20.42,
08/29/2025,09/02/2025,CHIPOTLE,Food & Drink,Sale,-14.39,
08/31/2025,09/02/2025,TICKETMASTER,Entertainment,Sale,-105.88,
09/05/2025,09/06/2025,GOOGLE *YOUTUBE,Subscriptions,Sale,-12.27,
09/06/2025,09/09/2025,CVS/PHARMACY,Health,Sale,-16.45,
09/12/2025,09/13/2025,GOOGLE *YOUTUBE,Subscriptions,Sale,-11.96,
09/13/2025,09/15/2025,AMAZON.COM ORDER 586787,Shopping,Sale,-87.90,
09/14/2025,09/18/2025,AMC THEATRES,Entertainment,Sale,-35.09,
09/15/2025,09/17/2025,DOORDASH,Food & Drink,Sale,-43.15,
09/17/2025,09/19/2025,REI,Shopping,Sale,-56.63,
09/20/2025,09/23/2025,DOORDASH,Food & Drink,Sale,-47.56,
09/21/2025,09/23/2025,SQ *LA TAQUERIA,Food & Drink,Sale,-6.00,
09/22/2025,09/23/2025,STARBUCKS,Food & Drink,Sale,-6.06,
09/29/2025,10/02/2025,BARNES & NOBLE,Shopping,Sale,-28.24,
10/03/2025,10/05/2025,NETFLIX.COM,Subscriptions,Sale,-15.99,
10/08/2025,10/11/2025,GOOGLE *YOUTUBE,Subscriptions,Sale,-18.01,
10/12/2025,10/15/2025,NIKE.COM,Shopping,Sale,-25.00,
10/15/2025,10/17/2025,NETFLIX.COM,Subscriptions,Sale,-15.99,
10/16/2025,10/20/2025,GOOGLE *YOUTUBE,Subscriptions,Sale,-13.54,
10/20/2025,10/24/2025,CONCERT VENUE,Entertainment,Sale,-112.82,
10/20/2025,10/21/2025,LULULEMON,Shopping,Sale,-66.28,
10/21/2025,10/24/2025,WALGREENS,Health,Sale,-44.51,
10/22/2025,10/25/2025,AMC THEATRES,Entertainment,Sale,-26.71,
10/27/2025,10/30/2025,CVS/PHARMACY,Health,Sale,-18.71,
10/31/2025,11/04/2025,AMC THEATRES,Entertainment,Sale,-20.23,
10/31/2025,10/31/2025,AMC THEATRES,Entertainment,Sale,-49.89,
11/01/2025,11/03/2025,MUSEUM,Entertainment,Sale,-32.72,
11/05/2025,11/07/2025,AMC THEATRES,Entertainment,Sale,-39.08,
11/08/2025,11/12/2025,UNITED AIRLINES,Travel,Sale,-401.16,
11/08/2025,11/12/2025,HOTEL RETURN,Travel,Refund,225.70,Refund/return
11/08/2025,11/09/2025,DOORDASH,Food & Drink,Sale,-35.49,
11/10/2025,11/13/2025,TARGET #15,Shopping,Sale,-99.14,
11/11/2025,11/14/2025,SWEETGREEN,Food & Drink,Sale,-20.73,
11/12/2025,11/14/2025,CHIPOTLE,Food & Drink,Sale,-13.22,
11/13/2025,11/14/2025,AMAZON.COM RETURN,Shopping,Refund,50.81,Refund/return
11/15/2025,11/16/2025,STARBUCKS,Food & Drink,Sale,-10.51,
11/17/2025,11/19/2025,DOORDASH,Food & Drink,Sale,-55.48,
11/21/2025,11/24/2025,LULULEMON,Shopping,Sale,-130.53,
11/23/2025,11/23/2025,REI RETURN,Shopping,Refund,126.42,Refund/return
11/24/2025,11/28/2025,CHIPOTLE,Food & Drink,Sale,-15.86,
11/29/2025,12/01/2025,SQ *THE BOUNCE PLACE,Entertainment,Sale,-14.34,
12/02/2025,12/06/2025,TICKETMASTER,Entertainment,Sale,-96.41,
12/03/2025,12/06/2025,WALGREENS,Health,Sale,-50.91,
12/07/2025,12/08/2025,TRADER JOE'S #581,Groceries,Sale,-57.65,
12/10/2025,12/13/2025,INSTACART,Groceries,Sale,-103.28,
12/12/2025,12/13/2025,MUSEUM,Entertainment,Sale,-36.28,
12/14/2025,12/17/2025,BARNES & NOBLE,Shopping,Sale,-49.16,
12/15/2025,12/18/2025,SEPHORA,Shopping,Sale,-76.63,
12/17/2025,12/17/2025,WALGREENS,Health,Sale,-35.50,
12/22/2025,12/24/2025,DOORDASH,Food & Drink,Sale,-39.70,
12/25/2025,12/28/2025,SPOTIFY,Subscriptions,Sale,-10.99,
