merchant,category,subcategory,confidence,reasoning,transaction_count
LULULEMON RETURN,Shopping,Clothing/Apparel,high,"Lululemon return should be categorized as original category (Clothing/Apparel), not Refunds",1
HOTEL RETURN,Travel,Hotels/Lodging,high,"Hotel return should be categorized as original category (Hotels/Lodging), not Refunds",1
SPOTIFY RETURN,Software Subscriptions,Streaming (Music),high,"Spotify return should be categorized as original category (Music Streaming), not Refunds",1
GOOGLE *YOUTUBE RETURN,Software Subscriptions,Streaming (Video),high,"YouTube return should be categorized as original category (Video Streaming), not Refunds",1
TARGET #218,Shopping,Home/Furniture,high,"Target is a general retailer, categorized as Home/Furniture shopping",1
AMC THEATRES RETURN,Entertainment,Movies/Theater,high,"AMC Theatres return should be categorized as original category (Movies/Theater), not Refunds",1
TARGET #15,Shopping,Home/Furniture,high,"Target is a general retailer, categorized as Home/Furniture shopping",1
TARGET #209,Shopping,Home/Furniture,high,"Target is a general retailer, categorized as Home/Furniture shopping",1
TRADER JOE'S #581,Groceries,Organic/Natural Foods,high,Trader Joe's is a grocery store specializing in natural/organic foods,1
TARGET #575,Shopping,Home/Furniture,high,"Target is a general retailer, categorized as Home/Furniture shopping",1
TARGET #636,Shopping,Home/Furniture,high,"Target is a general retailer, categorized as Home/Furniture shopping",1
AMAZON.COM RETURN,Shopping,Online Shopping,high,"Amazon return should be categorized as original category (Online Shopping), not Refunds",1
TICKETMASTER RETURN,Entertainment,Movies/Theater,high,"Ticketmaster return should be categorized as original category (Entertainment), not Refunds",1
LYFT 1 RIDE 12-02,Transportation,Rideshare,high,Lyft is a rideshare service,1
WHOLE FOODS MARKET #680,Groceries,Organic/Natural Foods,high,Whole Foods Market is a grocery store specializing in organic/natural foods,1
TRADER JOE'S #218,Groceries,Organic/Natural Foods,high,Trader Joe's is a grocery store specializing in natural/organic foods,1
TRADER JOE'S #862,Groceries,Organic/Natural Foods,high,Trader Joe's is a grocery store specializing in natural/organic foods,1
Opening Balance,Other,,high,"Opening Balance is an account initialization, not a regular transaction category",1
AMAZON.COM ORDER 926367,Shopping,Online Shopping,high,Amazon.com purchases are online shopping transactions,1
AMAZON.COM ORDER 826307,Shopping,Online Shopping,high,Amazon.com purchases are online shopping transactions,1
AMAZON.COM ORDER 586787,Shopping,Online Shopping,high,Amazon.com purchases are online shopping transactions,1
Uber Trip,Transportation,Rideshare,high,Uber is a rideshare service,1
AMAZON.COM ORDER 415198,Shopping,Online Shopping,high,Amazon.com purchases are online shopping transactions,1
WHOLE FOODS MARKET #239,Groceries,Organic/Natural Foods,high,Whole Foods Market is a grocery store specializing in organic/natural foods,1
WHOLE FOODS MARKET #30,Groceries,Organic/Natural Foods,high,Whole Foods Market is a grocery store specializing in organic/natural foods,1
TRADER JOE'S #858,Groceries,Organic/Natural Foods,high,Trader Joe's is a grocery store specializing in natural/organic foods,1
WHOLE FOODS MARKET #487,Groceries,Organic/Natural Foods,high,Whole Foods Market is a grocery store specializing in organic/natural foods,1
WHOLE FOODS MARKET #511,Groceries,Organic/Natural Foods,high,Whole Foods Market is a grocery store specializing in organic/natural foods,1
WHOLE FOODS MARKET #542,Groceries,Organic/Natural Foods,high,Whole Foods Market is a grocery store specializing in organic/natural foods,1
WHOLE FOODS MARKET #567,Groceries,Organic/Natural Foods,high,Whole Foods Market is a grocery store specializing in organic/natural foods,1
WHOLE FOODS MARKET #740,Groceries,Organic/Natural Foods,high,Whole Foods Market is a grocery store specializing in organic/natural foods,1
WHOLE FOODS MARKET #909,Groceries,Organic/Natural Foods,high,Whole Foods Market is a grocery store specializing in organic/natural foods,1
LYFT 1 RIDE 12-16,Transportation,Rideshare,high,Lyft is a rideshare service,1
