date,description,amount,type,category,source,month,year
2024-05-08,CONCERT VENUE,-158.85,Sale,Entertainment,fake_creditcard_1,2024-05,2024
2024-05-15,NIKE.COM,-117.28,Sale,Shopping,fake_creditcard_1,2024-05,2024
2024-05-15,CHIPOTLE,-18.87,Sale,Food & Drink,fake_creditcard_1,2024-05,2024
2024-05-20,WALGREENS,-42.5,Sale,Health,fake_creditcard_1,2024-05,2024
2024-05-20,SPOTIFY,-10.99,Sale,Subscriptions,fake_creditcard_1,2024-05,2024
2024-05-24,SQ *THE BOUNCE PLACE,-21.68,Sale,Entertainment,fake_creditcard_1,2024-05,2024
2024-05-26,SQ *THE BOUNCE PLACE,-29.91,Sale,Entertainment,fake_creditcard_1,2024-05,2024
2024-05-28,DOORDASH,-45.98,Sale,Food & Drink,fake_creditcard_1,2024-05,2024
2024-05-30,LULULEMON,-92.34,Sale,Shopping,fake_creditcard_1,2024-05,2024
2024-05-30,WALGREENS,-22.67,Sale,Health,fake_creditcard_1,2024-05,2024
2024-05-31,UNITED AIRLINES,-356.38,Sale,Travel,fake_creditcard_1,2024-05,2024
2024-06-04,MUSEUM,-34.25,Sale,Entertainment,fake_creditcard_1,2024-06,2024
2024-06-05,GOOGLE *YOUTUBE,-19.27,Sale,Subscriptions,fake_creditcard_1,2024-06,2024
2024-06-05,REI,-149.67,Sale,Shopping,fake_creditcard_1,2024-06,2024
2024-06-05,BALSMIQ,-19.13,Sale,Shopping,fake_creditcard_1,2024-06,2024
2024-06-06,TICKETMASTER,-126.45,Sale,Entertainment,fake_creditcard_1,2024-06,2024
2024-06-06,NIKE.COM,-58.0,Sale,Shopping,fake_creditcard_1,2024-06,2024
2024-06-10,GOOGLE *YOUTUBE,-14.59,Sale,Subscriptions,fake_creditcard_1,2024-06,2024
2024-06-18,TICKETMASTER RETURN,128.18,Refund,Entertainment,fake_creditcard_1,2024-06,2024
2024-06-18,SWEETGREEN,-20.63,Sale,Food & Drink,fake_creditcard_1,2024-06,2024
2024-06-23,APPLE.COM/BILL,-7.42,Sale,Subscriptions,fake_creditcard_1,2024-06,2024
2024-07-02,WHOLE FOODS MARKET #542,-94.55,Sale,Groceries,fake_creditcard_1,2024-07,2024
2024-07-05,SWEETGREEN,-13.27,Sale,Food & Drink,fake_creditcard_1,2024-07,2024
2024-07-11,APPLE.COM/BILL,-10.92,Sale,Subscriptions,fake_creditcard_1,2024-07,2024
2024-07-14,GIFTS & DONATIONS,-65.72,Sale,Gifts & Donations,fake_creditcard_1,2024-07,2024
2024-07-15,MUSEUM,-39.33,Sale,Entertainment,fake_creditcard_1,2024-07,2024
2024-07-17,STARBUCKS,-9.28,Sale,Food & Drink,fake_creditcard_1,2024-07,2024
2024-07-19,SPOTIFY,-10.99,Sale,Subscriptions,fake_creditcard_1,2024-07,2024
2024-07-19,CVS/PHARMACY,-32.33,Sale,Health,fake_creditcard_1,2024-07,2024
2024-07-21,INSTACART,-122.42,Sale,Groceries,fake_creditcard_1,2024-07,2024
2024-07-21,WALGREENS,-30.79,Sale,Health,fake_creditcard_1,2024-07,2024
2024-08-01,CVS/PHARMACY,-19.36,Sale,Health,fake_creditcard_1,2024-08,2024
2024-08-04,LULULEMON,-50.35,Sale,Shopping,fake_creditcard_1,2024-08,2024
2024-08-04,LULULEMON,-111.91,Sale,Shopping,fake_creditcard_1,2024-08,2024
2024-08-05,SPOTIFY,-10.99,Sale,Subscriptions,fake_creditcard_1,2024-08,2024
2024-08-06,LULULEMON RETURN,107.35,Refund,Shopping,fake_creditcard_1,2024-08,2024
2024-08-10,TRADER JOE'S #218,-56.5,Sale,Groceries,fake_creditcard_1,2024-08,2024
2024-08-14,AMC THEATRES,-34.16,Sale,Entertainment,fake_creditcard_1,2024-08,2024
2024-08-15,MUSEUM,-22.79,Sale,Entertainment,fake_creditcard_1,2024-08,2024
2024-08-19,CVS/PHARMACY,-23.82,Sale,Health,fake_creditcard_1,2024-08,2024
2024-08-21,TRADER JOE'S #858,-52.25,Sale,Groceries,fake_creditcard_1,2024-08,2024
2024-08-22,BALSMIQ,-19.78,Sale,Shopping,fake_creditcard_1,2024-08,2024
2024-08-25,BARNES & NOBLE,-37.19,Sale,Shopping,fake_creditcard_1,2024-08,2024
2024-08-27,CONCERT VENUE,-152.7,Sale,Entertainment,fake_creditcard_1,2024-08,2024
2024-08-28,CHIPOTLE,-13.38,Sale,Food & Drink,fake_creditcard_1,2024-08,2024
2024-08-30,CARD SERVICE FEE,-13.76,Fee,Fees,fake_creditcard_1,2024-08,2024
2024-09-03,NETFLIX.COM,-15.99,Sale,Subscriptions,fake_creditcard_1,2024-09,2024
2024-09-04,AIRBNB,-269.82,Sale,Travel,fake_creditcard_1,2024-09,2024
2024-09-04,APPLE.COM/BILL,-14.74,Sale,Subscriptions,fake_creditcard_1,2024-09,2024
2024-09-06,CHIPOTLE,-15.51,Sale,Food & Drink,fake_creditcard_1,2024-09,2024
2024-09-06,AMC THEATRES,-32.38,Sale,Entertainment,fake_creditcard_1,2024-09,2024
2024-09-10,CHIPOTLE,-24.13,Sale,Food & Drink,fake_creditcard_1,2024-09,2024
2024-09-11,CONCERT VENUE,-128.03,Sale,Entertainment,fake_creditcard_1,2024-09,2024
2024-09-13,MUSEUM,-38.71,Sale,Entertainment,fake_creditcard_1,2024-09,2024
2024-09-14,MUSEUM,-33.19,Sale,Entertainment,fake_creditcard_1,2024-09,2024
2024-09-15,HOTEL,-250.64,Sale,Travel,fake_creditcard_1,2024-09,2024
2024-09-16,WHOLE FOODS MARKET #487,-79.29,Sale,Groceries,fake_creditcard_1,2024-09,2024
2024-09-18,BARNES & NOBLE,-56.42,Sale,Shopping,fake_creditcard_1,2024-09,2024
2024-09-19,DOORDASH RETURN,50.93,Refund,Food & Drink,fake_creditcard_1,2024-09,2024
2024-09-21,CVS/PHARMACY,-18.41,Sale,Health,fake_creditcard_1,2024-09,2024
2024-09-25,BARNES & NOBLE,-37.53,Sale,Shopping,fake_creditcard_1,2024-09,2024
2024-09-26,SPOTIFY,-10.99,Sale,Subscriptions,fake_creditcard_1,2024-09,2024
2024-09-27,UNITED AIRLINES,-368.39,Sale,Travel,fake_creditcard_1,2024-09,2024
2024-09-27,REI,-68.75,Sale,Shopping,fake_creditcard_1,2024-09,2024
2024-10-01,CHIPOTLE,-16.84,Sale,Food & Drink,fake_creditcard_1,2024-10,2024
2024-10-02,CONCERT VENUE,-91.53,Sale,Entertainment,fake_creditcard_1,2024-10,2024
2024-10-03,CHIPOTLE,-8.0,Sale,Food & Drink,fake_creditcard_1,2024-10,2024
2024-10-03,CHIPOTLE,-20.68,Sale,Food & Drink,fake_creditcard_1,2024-10,2024
2024-10-15,BALSMIQ,-16.16,Sale,Shopping,fake_creditcard_1,2024-10,2024
2024-10-20,AMC THEATRES RETURN,29.32,Refund,Entertainment,fake_creditcard_1,2024-10,2024
2024-10-22,NETFLIX.COM,-15.99,Sale,Subscriptions,fake_creditcard_1,2024-10,2024
2024-10-26,STARBUCKS,-8.47,Sale,Food & Drink,fake_creditcard_1,2024-10,2024
2024-10-27,BALSMIQ,-18.38,Sale,Shopping,fake_creditcard_1,2024-10,2024
2024-10-28,NIKE.COM,-85.53,Sale,Shopping,fake_creditcard_1,2024-10,2024
2024-10-29,APPLE.COM/BILL,-3.76,Sale,Subscriptions,fake_creditcard_1,2024-10,2024
2024-11-03,BARNES & NOBLE,-48.86,Sale,Shopping,fake_creditcard_1,2024-11,2024
2024-11-05,SWEETGREEN,-18.92,Sale,Food & Drink,fake_creditcard_1,2024-11,2024
2024-11-12,GIFTS & DONATIONS,-57.42,Sale,Gifts & Donations,fake_creditcard_1,2024-11,2024
2024-11-25,BARNES & NOBLE,-31.41,Sale,Shopping,fake_creditcard_1,2024-11,2024
2024-11-29,STARBUCKS,-9.67,Sale,Food & Drink,fake_creditcard_1,2024-11,2024
2024-12-02,LYFT 1 RIDE 12-02,-14.06,Sale,Travel,fake_creditcard_1,2024-12,2024
2024-12-04,SP ALLBIRDS,-90.63,Sale,Shopping,fake_creditcard_1,2024-12,2024
2024-12-06,AMC THEATRES,-40.96,Sale,Entertainment,fake_creditcard_1,2024-12,2024
2024-12-06,WHOLE FOODS MARKET #909,-61.6,Sale,Groceries,fake_creditcard_1,2024-12,2024
2024-12-10,REI,-62.73,Sale,Shopping,fake_creditcard_1,2024-12,2024
2024-12-11,SQ *THE BOUNCE PLACE,-25.41,Sale,Entertainment,fake_creditcard_1,2024-12,2024
2024-12-12,UNITED AIRLINES,-360.53,Sale,Travel,fake_creditcard_1,2024-12,2024
2024-12-14,CHIPOTLE,-17.97,Sale,Food & Drink,fake_creditcard_1,2024-12,2024
2024-12-14,SQ *LA TAQUERIA,-13.25,Sale,Food & Drink,fake_creditcard_1,2024-12,2024
2024-12-14,GIFTS & DONATIONS,-41.72,Sale,Gifts & Donations,fake_creditcard_1,2024-12,2024
2024-12-15,GOOGLE *YOUTUBE,-10.76,Sale,Subscriptions,fake_creditcard_1,2024-12,2024
2024-12-15,SQ *THE BOUNCE PLACE,-23.79,Sale,Entertainment,fake_creditcard_1,2024-12,2024
2024-12-16,LYFT 1 RIDE 12-16,-12.72,Sale,Travel,fake_creditcard_1,2024-12,2024
2024-12-18,UNITED AIRLINES,-396.57,Sale,Travel,fake_creditcard_1,2024-12,2024
2024-12-20,AIRBNB,-207.98,Sale,Travel,fake_creditcard_1,2024-12,2024
2024-12-20,REI,-69.17,Sale,Shopping,fake_creditcard_1,2024-12,2024
2024-12-21,APPLE.COM/BILL,-12.74,Sale,Subscriptions,fake_creditcard_1,2024-12,2024
2024-12-22,AMC THEATRES,-32.02,Sale,Entertainment,fake_creditcard_1,2024-12,2024
2024-12-29,SEPHORA,-66.28,Sale,Shopping,fake_creditcard_1,2024-12,2024
2024-12-30,SPOTIFY,-10.99,Sale,Subscriptions,fake_creditcard_1,2024-12,2024
2025-01-03,CHIPOTLE,-19.57,Sale,Food & Drink,fake_creditcard_1,2025-01,2025
2025-01-09,GOOGLE *YOUTUBE,-17.24,Sale,Subscriptions,fake_creditcard_1,2025-01,2025
2025-01-14,AIRBNB,-287.71,Sale,Travel,fake_creditcard_1,2025-01,2025
2025-01-18,SPOTIFY RETURN,26.9,Refund,Subscriptions,fake_creditcard_1,2025-01,2025
2025-01-18,NIKE.COM,-64.75,Sale,Shopping,fake_creditcard_1,2025-01,2025
2025-01-19,APPLE.COM/BILL,-8.2,Sale,Subscriptions,fake_creditcard_1,2025-01,2025
2025-01-21,MUSEUM,-47.07,Sale,Entertainment,fake_creditcard_1,2025-01,2025
2025-01-22,DOORDASH,-30.85,Sale,Food & Drink,fake_creditcard_1,2025-01,2025
2025-01-25,REI,-165.02,Sale,Shopping,fake_creditcard_1,2025-01,2025
2025-01-27,INSTACART,-95.2,Sale,Groceries,fake_creditcard_1,2025-01,2025
2025-02-04,CHIPOTLE,-19.12,Sale,Food & Drink,fake_creditcard_1,2025-02,2025
2025-02-17,AMC THEATRES,-17.78,Sale,Entertainment,fake_creditcard_1,2025-02,2025
2025-02-17,GOOGLE *YOUTUBE,-19.33,Sale,Subscriptions,fake_creditcard_1,2025-02,2025
2025-02-18,NIKE.COM,-132.3,Sale,Shopping,fake_creditcard_1,2025-02,2025
2025-02-19,SPOTIFY,-10.99,Sale,Subscriptions,fake_creditcard_1,2025-02,2025
2025-02-21,AIRBNB,-328.5,Sale,Travel,fake_creditcard_1,2025-02,2025
2025-02-25,GOOGLE *YOUTUBE,-21.76,Sale,Subscriptions,fake_creditcard_1,2025-02,2025
2025-02-25,DOORDASH,-40.02,Sale,Food & Drink,fake_creditcard_1,2025-02,2025
2025-02-27,HOTEL,-165.61,Sale,Travel,fake_creditcard_1,2025-02,2025
2025-02-27,DOORDASH,-44.67,Sale,Food & Drink,fake_creditcard_1,2025-02,2025
2025-03-04,GOOGLE *YOUTUBE,-14.59,Sale,Subscriptions,fake_creditcard_1,2025-03,2025
2025-03-10,CVS/PHARMACY,-25.09,Sale,Health,fake_creditcard_1,2025-03,2025
2025-03-11,MUSEUM,-30.2,Sale,Entertainment,fake_creditcard_1,2025-03,2025
2025-03-16,GIFTS & DONATIONS,-81.85,Sale,Gifts & Donations,fake_creditcard_1,2025-03,2025
2025-03-17,CHIPOTLE,-14.17,Sale,Food & Drink,fake_creditcard_1,2025-03,2025
2025-03-18,AMC THEATRES,-42.3,Sale,Entertainment,fake_creditcard_1,2025-03,2025
2025-03-19,DOORDASH,-49.04,Sale,Food & Drink,fake_creditcard_1,2025-03,2025
2025-03-19,WHOLE FOODS MARKET #567,-60.51,Sale,Groceries,fake_creditcard_1,2025-03,2025
2025-03-19,CVS/PHARMACY,-9.76,Sale,Health,fake_creditcard_1,2025-03,2025
2025-03-22,NIKE.COM,-107.81,Sale,Shopping,fake_creditcard_1,2025-03,2025
2025-03-24,UBER TRIP,-14.79,Sale,Travel,fake_creditcard_1,2025-03,2025
2025-03-28,CHIPOTLE,-17.98,Sale,Food & Drink,fake_creditcard_1,2025-03,2025
2025-04-05,UBER TRIP,-20.05,Sale,Travel,fake_creditcard_1,2025-04,2025
2025-04-07,GIFTS & DONATIONS RETURN,56.02,Refund,Gifts & Donations,fake_creditcard_1,2025-04,2025
2025-04-17,TARGET #636,-111.29,Sale,Shopping,fake_creditcard_1,2025-04,2025
2025-04-21,MUSEUM,-34.46,Sale,Entertainment,fake_creditcard_1,2025-04,2025
2025-04-26,TARGET #209,-52.27,Sale,Shopping,fake_creditcard_1,2025-04,2025
2025-04-27,AMC THEATRES,-42.4,Sale,Entertainment,fake_creditcard_1,2025-04,2025
2025-04-28,CONCERT VENUE,-93.93,Sale,Entertainment,fake_creditcard_1,2025-04,2025
2025-04-28,DOORDASH,-52.62,Sale,Food & Drink,fake_creditcard_1,2025-04,2025
2025-04-30,REI,-117.69,Sale,Shopping,fake_creditcard_1,2025-04,2025
2025-05-07,HOTEL,-175.39,Sale,Travel,fake_creditcard_1,2025-05,2025
2025-05-09,SEPHORA,-37.31,Sale,Shopping,fake_creditcard_1,2025-05,2025
2025-05-09,CVS/PHARMACY,-24.37,Sale,Health,fake_creditcard_1,2025-05,2025
2025-05-10,TICKETMASTER,-116.28,Sale,Entertainment,fake_creditcard_1,2025-05,2025
2025-05-11,SQ *THE BOUNCE PLACE,-29.52,Sale,Entertainment,fake_creditcard_1,2025-05,2025
2025-05-14,CARD SERVICE FEE,-4.79,Fee,Fees,fake_creditcard_1,2025-05,2025
2025-05-17,GOOGLE *YOUTUBE RETURN,15.77,Refund,Subscriptions,fake_creditcard_1,2025-05,2025
2025-05-17,CARD SERVICE FEE,-9.41,Fee,Fees,fake_creditcard_1,2025-05,2025
2025-05-18,CONCERT VENUE,-121.54,Sale,Entertainment,fake_creditcard_1,2025-05,2025
2025-05-18,REI,-147.81,Sale,Shopping,fake_creditcard_1,2025-05,2025
2025-05-18,BALSMIQ,-13.97,Sale,Shopping,fake_creditcard_1,2025-05,2025
2025-05-20,SP ALLBIRDS,-93.82,Sale,Shopping,fake_creditcard_1,2025-05,2025
2025-05-21,STARBUCKS,-9.87,Sale,Food & Drink,fake_creditcard_1,2025-05,2025
2025-05-27,CHIPOTLE,-18.06,Sale,Food & Drink,fake_creditcard_1,2025-05,2025
2025-05-30,WALGREENS,-40.38,Sale,Health,fake_creditcard_1,2025-05,2025
2025-05-30,UNITED AIRLINES,-421.81,Sale,Travel,fake_creditcard_1,2025-05,2025
2025-06-01,GOOGLE *YOUTUBE,-13.86,Sale,Subscriptions,fake_creditcard_1,2025-06,2025
2025-06-01,SQ *THE BOUNCE PLACE,-19.57,Sale,Entertainment,fake_creditcard_1,2025-06,2025
2025-06-06,AMAZON.COM ORDER 826307,-67.93,Sale,Shopping,fake_creditcard_1,2025-06,2025
2025-06-07,WHOLE FOODS MARKET #30,-62.34,Sale,Groceries,fake_creditcard_1,2025-06,2025
2025-06-12,TICKETMASTER,-117.85,Sale,Entertainment,fake_creditcard_1,2025-06,2025
2025-06-12,WHOLE FOODS MARKET #511,-72.98,Sale,Groceries,fake_creditcard_1,2025-06,2025
2025-06-13,REI,-127.31,Sale,Shopping,fake_creditcard_1,2025-06,2025
2025-06-14,INSTACART,-61.37,Sale,Groceries,fake_creditcard_1,2025-06,2025
2025-06-17,MUSEUM,-34.07,Sale,Entertainment,fake_creditcard_1,2025-06,2025
2025-06-21,STARBUCKS,-8.43,Sale,Food & Drink,fake_creditcard_1,2025-06,2025
2025-06-21,NIKE.COM,-118.71,Sale,Shopping,fake_creditcard_1,2025-06,2025
2025-07-04,SQ *THE BOUNCE PLACE,-30.47,Sale,Entertainment,fake_creditcard_1,2025-07,2025
2025-07-06,UNITED AIRLINES,-429.14,Sale,Travel,fake_creditcard_1,2025-07,2025
2025-07-07,LYFT 1 RIDE 07-07,-15.44,Sale,Travel,fake_creditcard_1,2025-07,2025
2025-07-11,TARGET #575,-76.83,Sale,Shopping,fake_creditcard_1,2025-07,2025
2025-07-12,DOORDASH,-38.39,Sale,Food & Drink,fake_creditcard_1,2025-07,2025
2025-07-18,AIRBNB,-270.31,Sale,Travel,fake_creditcard_1,2025-07,2025
2025-07-18,APPLE.COM/BILL,-6.48,Sale,Subscriptions,fake_creditcard_1,2025-07,2025
2025-07-19,NETFLIX.COM,-15.99,Sale,Subscriptions,fake_creditcard_1,2025-07,2025
2025-07-21,CVS/PHARMACY,-18.29,Sale,Health,fake_creditcard_1,2025-07,2025
2025-07-23,NIKE.COM,-96.87,Sale,Shopping,fake_creditcard_1,2025-07,2025
2025-07-26,TARGET #218,-72.97,Sale,Shopping,fake_creditcard_1,2025-07,2025
2025-07-26,CVS/PHARMACY,-21.34,Sale,Health,fake_creditcard_1,2025-07,2025
2025-07-27,MUSEUM,-41.1,Sale,Entertainment,fake_creditcard_1,2025-07,2025
2025-07-28,LULULEMON,-97.42,Sale,Shopping,fake_creditcard_1,2025-07,2025
2025-07-29,SWEETGREEN,-24.27,Sale,Food & Drink,fake_creditcard_1,2025-07,2025
2025-07-29,LULULEMON,-147.39,Sale,Shopping,fake_creditcard_1,2025-07,2025
2025-08-01,AIRBNB,-282.38,Sale,Travel,fake_creditcard_1,2025-08,2025
2025-08-02,LYFT 1 RIDE 08-02,-13.79,Sale,Travel,fake_creditcard_1,2025-08,2025
2025-08-02,BALSMIQ,-9.63,Sale,Shopping,fake_creditcard_1,2025-08,2025
2025-08-06,SP ALLBIRDS,-85.96,Sale,Shopping,fake_creditcard_1,2025-08,2025
2025-08-08,SQ *LA TAQUERIA,-16.81,Sale,Food & Drink,fake_creditcard_1,2025-08,2025
2025-08-09,AIRBNB,-302.53,Sale,Travel,fake_creditcard_1,2025-08,2025
2025-08-11,SQ *LA TAQUERIA,-11.58,Sale,Food & Drink,fake_creditcard_1,2025-08,2025
2025-08-12,DOORDASH,-52.53,Sale,Food & Drink,fake_creditcard_1,2025-08,2025
2025-08-17,NETFLIX.COM,-15.99,Sale,Subscriptions,fake_creditcard_1,2025-08,2025
2025-08-21,UBER TRIP,-20.43,Sale,Travel,fake_creditcard_1,2025-08,2025
2025-08-21,BARNES & NOBLE,-53.83,Sale,Shopping,fake_creditcard_1,2025-08,2025
2025-08-24,AIRBNB,-279.09,Sale,Travel,fake_creditcard_1,2025-08,2025
2025-08-26,GOOGLE *YOUTUBE,-18.31,Sale,Subscriptions,fake_creditcard_1,2025-08,2025
2025-08-27,SQ *THE BOUNCE PLACE,-20.42,Sale,Entertainment,fake_creditcard_1,2025-08,2025
2025-08-29,CHIPOTLE,-14.39,Sale,Food & Drink,fake_creditcard_1,2025-08,2025
2025-08-31,TICKETMASTER,-105.88,Sale,Entertainment,fake_creditcard_1,2025-08,2025
2025-09-05,GOOGLE *YOUTUBE,-12.27,Sale,Subscriptions,fake_creditcard_1,2025-09,2025
2025-09-06,CVS/PHARMACY,-16.45,Sale,Health,fake_creditcard_1,2025-09,2025
2025-09-12,GOOGLE *YOUTUBE,-11.96,Sale,Subscriptions,fake_creditcard_1,2025-09,2025
2025-09-13,AMAZON.COM ORDER 586787,-87.9,Sale,Shopping,fake_creditcard_1,2025-09,2025
2025-09-14,AMC THEATRES,-35.09,Sale,Entertainment,fake_creditcard_1,2025-09,2025
2025-09-15,DOORDASH,-43.15,Sale,Food & Drink,fake_creditcard_1,2025-09,2025
2025-09-17,REI,-56.63,Sale,Shopping,fake_creditcard_1,2025-09,2025
2025-09-20,DOORDASH,-47.56,Sale,Food & Drink,fake_creditcard_1,2025-09,2025
2025-09-21,SQ *LA TAQUERIA,-6.0,Sale,Food & Drink,fake_creditcard_1,2025-09,2025
2025-09-22,STARBUCKS,-6.06,Sale,Food & Drink,fake_creditcard_1,2025-09,2025
2025-09-29,BARNES & NOBLE,-28.24,Sale,Shopping,fake_creditcard_1,2025-09,2025
2025-10-03,NETFLIX.COM,-15.99,Sale,Subscriptions,fake_creditcard_1,2025-10,2025
2025-10-08,GOOGLE *YOUTUBE,-18.01,Sale,Subscriptions,fake_creditcard_1,2025-10,2025
2025-10-12,NIKE.COM,-25.0,Sale,Shopping,fake_creditcard_1,2025-10,2025
2025-10-15,NETFLIX.COM,-15.99,Sale,Subscriptions,fake_creditcard_1,2025-10,2025
2025-10-16,GOOGLE *YOUTUBE,-13.54,Sale,Subscriptions,fake_creditcard_1,2025-10,2025
2025-10-20,CONCERT VENUE,-112.82,Sale,Entertainment,fake_creditcard_1,2025-10,2025
2025-10-20,LULULEMON,-66.28,Sale,Shopping,fake_creditcard_1,2025-10,2025
2025-10-21,WALGREENS,-44.51,Sale,Health,fake_creditcard_1,2025-10,2025
2025-10-22,AMC THEATRES,-26.71,Sale,Entertainment,fake_creditcard_1,2025-10,2025
2025-10-27,CVS/PHARMACY,-18.71,Sale,Health,fake_creditcard_1,2025-10,2025
2025-10-31,AMC THEATRES,-20.23,Sale,Entertainment,fake_creditcard_1,2025-10,2025
2025-10-31,AMC THEATRES,-49.89,Sale,Entertainment,fake_creditcard_1,2025-10,2025
2025-11-01,MUSEUM,-32.72,Sale,Entertainment,fake_creditcard_1,2025-11,2025
2025-11-05,AMC THEATRES,-39.08,Sale,Entertainment,fake_creditcard_1,2025-11,2025
2025-11-08,UNITED AIRLINES,-401.16,Sale,Travel,fake_creditcard_1,2025-11,2025
2025-11-08,HOTEL RETURN,225.7,Refund,Travel,fake_creditcard_1,2025-11,2025
2025-11-08,DOORDASH,-35.49,Sale,Food & Drink,fake_creditcard_1,2025-11,2025
2025-11-10,TARGET #15,-99.14,Sale,Shopping,fake_creditcard_1,2025-11,2025
